Indice;Fecha;Open;Close;Variacion diaria;Descripcion
306;2021-11-03;63254.335938;62970.046875;-284.28906299999653;Baja
307;2021-11-04;62941.804688;61452.23046900001;-1489.5742189999874;Baja
308;2021-11-05;61460.078125;61125.67578099999;-334.4023440000092;Baja
309;2021-11-06;61068.875;61527.48046900001;458.6054690000092;Sube
310;2021-11-07;61554.921875;63326.98828099999;1772.0664059999908;Sube
311;2021-11-08;63344.06640599999;67566.828125;4222.761719000009;Sube
312;2021-11-09;67549.734375;66971.828125;-577.90625;Baja
313;2021-11-10;66953.335938;64995.23046900001;-1958.1054689999946;Baja
314;2021-11-11;64978.890625;64949.960938;-28.92968700000347;Baja
315;2021-11-12;64863.98046900001;64155.94140599999;-708.0390630000184;Baja
316;2021-11-13;64158.12109400001;64469.52734400001;311.40625;Sube
317;2021-11-14;64455.37109400001;65466.83984400001;1011.46875;Sube
318;2021-11-15;65521.289063;63557.87109400001;-1963.4179689999874;Baja
319;2021-11-16;63721.195313;60161.24609400001;-3559.9492189999874;Baja
320;2021-11-17;60139.62109400001;60368.01171900001;228.390625;Sube
321;2021-11-18;60360.13671900001;56942.13671900001;-3418.0;Baja
322;2021-11-19;56896.12890599999;58119.578125;1223.4492190000092;Sube
323;2021-11-20;58115.08203099999;59697.195313;1582.1132820000057;Sube
324;2021-11-21;59730.507813;58730.476563;-1000.03125;Baja
325;2021-11-22;58706.84765599999;56289.289063;-2417.5585929999943;Baja
326;2021-11-23;56304.554688;57569.07421900001;1264.5195310000126;Sube
327;2021-11-24;57565.851563;56280.42578099999;-1285.4257820000057;Baja
328;2021-11-25;57165.41796900001;57274.679688;109.26171899998735;Sube
329;2021-11-26;58960.28515599999;53569.765625;-5390.519530999991;Baja
330;2021-11-27;53736.429688;54815.078125;1078.6484370000035;Sube
331;2021-11-28;54813.023438;57248.45703099999;2435.4335929999943;Sube
332;2021-11-29;57291.90625;57806.56640599999;514.6601559999908;Sube
333;2021-11-30;57830.11328099999;57005.42578099999;-824.6875;Baja
334;2021-12-01;56907.96484400001;57229.828125;321.8632809999908;Sube
335;2021-12-02;57217.37109400001;56477.81640599999;-739.5546880000184;Baja
336;2021-12-03;56509.164063;53598.246094;-2910.9179689999946;Baja
337;2021-12-04;53727.87890599999;49200.703125;-4527.175780999991;Baja
338;2021-12-05;49201.519531;49368.847656;167.328125;Sube
339;2021-12-06;49413.480469;50582.625;1169.144530999998;Sube
340;2021-12-07;50581.828125;50700.085938;118.25781299999653;Sube
341;2021-12-08;50667.648438;50504.796875;-162.85156299999653;Baja
342;2021-12-09;50450.082031;47672.121094;-2777.960936999996;Baja
343;2021-12-10;47642.144531;47243.304688;-398.83984300000157;Baja
344;2021-12-11;47264.632813;49362.507813;2097.875;Sube
345;2021-12-12;49354.855469;50098.335938;743.4804689999946;Sube
346;2021-12-13;50114.742188;46737.480469;-3377.2617189999946;Baja
347;2021-12-14;46709.824219;46612.632813;-97.19140600000537;Baja
348;2021-12-15;48379.753906;48896.722656;516.96875;Sube
349;2021-12-16;48900.464844;47665.425781;-1235.0390630000038;Baja
350;2021-12-17;47653.730469;46202.144531;-1451.5859380000038;Baja
351;2021-12-18;46219.253906;46848.777344;629.5234380000038;Sube
352;2021-12-19;46853.867188;46707.015625;-146.85156299999653;Baja
353;2021-12-20;46707.0625;46880.277344;173.2148440000019;Sube
354;2021-12-21;46886.078125;48936.613281;2050.535155999998;Sube
355;2021-12-22;48937.097656;48628.511719;-308.5859369999962;Baja
356;2021-12-23;48626.34375;50784.539063;2158.1953129999965;Sube
357;2021-12-24;50806.050781;50822.195313;16.144531999998435;Sube
358;2021-12-25;50854.917969;50429.859375;-425.0585940000019;Baja
359;2021-12-26;50428.691406;50809.515625;380.8242190000019;Sube
360;2021-12-27;50802.609375;50640.417969;-162.1914059999981;Baja
361;2021-12-28;50679.859375;47588.855469;-3091.003905999998;Baja
362;2021-12-29;47623.871094;46444.710938;-1179.1601560000054;Baja
363;2021-12-30;46490.605469;47178.125;687.5195309999981;Sube
364;2021-12-31;47169.371094;46306.445313;-862.9257810000054;Baja
365;2022-01-01;46311.746094;47686.8125;1375.066405999998;Sube
